semester_id,student_id,sem,sem_earned,sem_points,semester_attempted,sem_gpa,program_grade_date
1,1,2004-1,3,9,3,2.5,6/11/2006
2,4,2004-1,3,7.5,3,2.5,6/11/2006
3,89,2004-2,3,9,3,3.1,
4,113,2005-1,3,10.5,3,3.5,
5,551,2004-1,3,7.5,3,2.5,
6,639,2004-1,3,7.5,3,2.5,6/11/2006
7,653,2004-1,3,6,3,2.5,
8,749,2005-1,3,11.25,3,3.5,6/18/2005
9,1217,2005-1,3,11.25,3,3.5,12/14/2007
10,1303,2005-2,12,48,12,3.95,6/18/2005
11,1353,2004-2,3,10.5,3,3.1,
12,1652,2005-1,3,9,3,3.5,
13,2030,2005-2,3,11.25,3,3.95,12/22/2008
14,2077,2004-2,3,9,3,3.1,6/18/2005
15,2158,2004-2,3,0,3,3.1,6/11/2006
16,2515,2004-2,3,12,3,3.1,
17,2694,2004-2,3,6,3,3.1,
18,2788,2005-1,3,10.5,3,3.5,6/11/2006
19,2792,2002-1,3,9,3,3.29,6/18/2005
20,3136,2002-1,3,9,3,3.29,6/18/2005
21,3301,2002-2,3,9,3,3.5,1/26/2013
22,3573,2003-1,4,15,4,3.61,
23,3593,2003-2,3,7.5,3,3.04,
24,3641,2004-1,3,9,3,2.9,
25,3845,2004-1,3,9,3,2.9,6/18/2005
26,3864,2005-1,3,12,3,3.65,12/11/2004
27,3874,2002-1,1,3.75,1,3.29,
28,3880,2003-1,3,9,3,3.61,
29,4258,2004-1,3,9,3,2.9,
30,4369,2004-2,3,12,3,3.4,6/18/2005
31,4395,2002-1,3,9,3,3.29,
32,4396,2002-1,4,14,4,3.29,6/18/2005
33,4407,2003-1,3,12,3,3.61,6/18/2005
34,4446,2004-2,3,9,3,3.4,
35,4484,2004-2,3,10.5,3,3.4,
36,4508,2005-1,3,11.25,3,3.65,
37,4518,2005-1,3,12,3,3.65,6/9/2007
38,4538,2005-2,12,36,12,3,1/28/2012
39,4566,2002-1,3,11.25,3,3.29,6/11/2006
40,4584,2003-1,3,11.25,3,3.61,6/2/2002
41,4602,2003-2,3,9,3,3.04,6/13/2004
42,4639,2003-2,4,14,4,3.04,6/2/2002
43,4672,2004-2,3,9,3,3.4,6/18/2005
44,4699,2002-2,3,10.5,3,3.5,
45,4706,2002-2,3,11.25,3,3.5,
46,4716,2003-1,3,10.5,3,3.61,6/8/2003
47,4751,2004-1,3,9,3,2.9,
48,4758,2004-1,3,7.5,3,2.9,6/13/2004
49,4788,2004-2,3,10.5,3,3.4,6/18/2005
50,4798,2005-1,3,10.5,3,3.65,
51,4818,2002-2,3,10.5,3,3.5,1/26/2013
52,4829,2002-2,3,11.25,3,3.5,
53,4859,2002-2,3,10.5,3,3.5,12/11/2004
54,4869,2003-2,3,9,3,3.04,6/8/2003
55,4880,2005-1,3,9,3,3.65,
56,4920,2008-1,0,0,3,0.38,6/9/2007
57,4929,2008-2,3,0,3,1.75,2/6/2016
58,4934,2011-2,0,0,3,2,6/20/2009
59,4963,2011-2,3,6,3,2,
60,4987,2011-3,3,10.5,3,3.5,6/13/2015
61,5016,2013-2,3,0,3,0,12/8/2005
62,5031,2014-1,3,0,3,0,
63,5055,2016-1,3,0,3,0,
64,5091,2008-1,3,0,3,0.38,6/9/2007
65,5116,2008-1,3,4.5,3,0.38,
66,5125,2008-2,0,0,3,1.75,6/16/2012
67,5142,2008-2,0,0,3,1.75,6/9/2007
68,5148,2012-3,0,0,3,,6/11/2006
69,5165,2013-1,0,0,3,,6/11/2006
70,5167,2013-3,,,3,,6/11/2006
71,5181,2014-1,,,3,0,6/11/2006
72,5207,2014-3,3,10.5,3,3.5,6/11/2006
73,5237,2015-1,0,0,3,,
74,5261,2015-2,0,0,3,,
75,5265,2016-1,3,0,3,0,6/11/2016
76,5287,2016-2,,,3,,
77,5320,2008-2,0,0,3,1.75,6/19/2010
78,5337,2008-2,3,10.5,3,1.75,
79,5359,2011-1,3,6,3,1,6/9/2007
80,5385,2011-1,3,0,3,1,
81,5388,2012-1,0,0,3,,
82,5394,2013-1,0,0,3,,6/15/2019
83,5400,2013-2,3,0,3,0,
84,5455,2015-1,0,0,3,,
85,5464,2008-1,3,0,3,0.38,
86,5483,2011-1,3,0,3,1,
87,5501,2011-2,3,6,3,2,6/15/2019
88,5523,2011-3,0,0,3,3.5,6/19/2010
89,5529,2012-1,0,0,3,,6/16/2012
90,5546,2012-2,0,0,3,,6/14/2014
91,5555,2012-2,0,0,3,,6/9/2007
92,5570,2014-1,3,0,3,0,1/28/2012
93,5576,2015-1,0,0,3,,6/19/2010
94,5595,2015-2,0,0,3,,
95,5606,2016-1,3,0,3,0,
96,5616,2008-1,0,0,3,0.38,1/16/2010
97,5642,2012-1,0,0,3,,
98,5661,2013-1,0,0,3,,1/29/2011
99,5686,2013-1,0,0,3,,6/16/2012
100,5696,2008-1,3,0,3,0.38,6/20/2009
101,5702,2010-2,3,12,3,4,
102,5713,2013-1,0,0,3,,6/14/2008
103,5735,2014-1,3,0,3,0,
104,5763,2014-2,3,0,3,0,1/16/2010
105,5800,2002-1,4,14,4,3.5,
106,5819,2002-2,3,10.5,3,3.5,
107,5826,2003-1,3,10.5,3,3.75,
108,5833,2003-1,3,12,3,3.75,6/14/2008
109,5845,2003-1,3,0,3,0,
110,5874,2002-1,3,6,3,1.5,6/20/2009
111,5900,2002-2,3,4.5,3,2,6/18/2011
112,5923,2002-2,3,6,3,2,7/24/2009
113,5948,2003-1,3,0,3,0,6/14/2008
114,5973,2003-1,3,0,3,0,6/14/2008
115,5976,2002-1,3,3,3,1.5,12/22/2008
116,5987,2002-1,3,9,3,1.5,6/15/2013
117,6013,2002-1,3,0,3,1.5,
118,6018,2002-1,3,4.5,3,1.5,
119,6069,2002-2,3,7.5,3,2,
120,6081,2004-1,3,7.5,3,2.7,
121,6096,2004-1,3,9,3,2.7,
122,6111,2005-1,3,12,3,3.55,
123,6128,2005-1,3,9,3,3.55,
124,6153,2004-2,3,9,3,3.2,
125,6191,2004-2,3,0,3,3.2,6/16/2012
126,6195,2005-1,3,11.25,3,3.55,6/19/2010
127,6229,2004-1,3,7.5,3,2.7,6/19/2010
128,6243,2004-1,3,7.5,3,2.7,1/26/2013
129,6260,2004-2,3,12,3,3.2,6/15/2019
130,6287,2005-1,3,10.5,3,3.55,1/29/2011
131,6300,2005-2,12,48,12,3.7,1/29/2011
132,6309,2004-2,3,9,3,3.2,6/20/2009
133,6316,2004-1,3,9,3,2.7,6/19/2010
134,6321,2004-2,3,9,3,3.2,6/19/2010
135,6332,2004-2,3,9,3,3.2,6/19/2010
136,6366,2005-1,3,10.5,3,3.55,
137,6373,2005-2,3,7.5,3,3.7,6/16/2012
138,6404,2012-1,0,0,3,2,
139,6423,2012-1,3,6,3,2,
140,6461,2012-1,3,6,3,2,
141,6467,2003-2,3,11.25,3,3.79,
142,6498,2003-2,3,10.5,3,3.79,6/19/2010
143,6524,2004-1,3,12,3,3.9,
144,6554,2004-1,3,12,3,3.9,1/29/2011
145,6591,2003-1,3,9,3,3.6,2/7/2015
146,6599,2003-2,3,12,3,3.79,2/7/2015
147,6611,2003-2,3,11.25,3,3.79,10/15/2022
148,6623,2003-1,3,11.25,3,3.6,
149,6666,2003-1,3,11.25,3,3.6,
150,6672,2003-2,3,12,3,3.79,
151,6674,2004-1,3,12,3,3.9,6/18/2011
152,6713,2003-1,3,10.5,3,3.6,6/18/2011
153,6720,2003-2,3,11.25,3,3.79,6/19/2010
154,6743,2004-1,3,11.25,3,3.9,6/18/2011
155,6756,2003-1,3,12,3,3.6,6/18/2011
156,6762,2004-1,3,11.25,3,3.9,2/6/2016
157,6793,2004-2,12,42,12,3.5,
158,6816,2005-2,0,0,3,3.55,
159,6848,2006-1,3,0,3,2.67,
160,6853,2007-1,3,10.5,3,3.63,
161,6880,2005-2,3,9,3,3.55,
162,6887,2005-2,3,11.25,3,3.55,
163,6896,2006-2,12,48,12,3.9,1/29/2011
164,6904,2005-2,3,10.5,3,3.55,6/18/2011
165,6934,2005-2,3,10.5,3,3.55,6/13/2015
166,6960,2006-1,3,4.5,3,2.67,
167,7018,2006-2,3,10.5,3,3.9,6/18/2011
168,7020,2005-2,3,12,3,3.55,
169,7026,2006-1,3,9,3,2.67,
170,7065,2007-1,3,11.25,3,3.63,
171,7079,2006-1,3,10.5,3,2.67,6/14/2014
172,7090,2003-1,3,12,3,3.83,
173,7096,2003-2,3,12,3,3.83,
174,7126,2003-2,3,11.25,3,3.83,6/18/2011
175,7135,2003-2,3,12,3,3.83,6/15/2013
176,7186,2003-1,3,12,3,3.83,
177,7217,2004-1,3,11.25,3,3.88,6/15/2013
178,7226,2004-1,3,11.25,3,3.88,
179,7253,2003-1,3,10.5,3,3.83,6/16/2012
180,7258,2003-1,3,11.25,3,3.83,6/19/2010
181,7293,2003-2,3,11.25,3,3.83,
182,7335,2003-1,3,12,3,3.83,6/19/2010
183,7340,2003-1,3,11.25,3,3.83,
184,7407,2003-2,3,11.25,3,3.83,
185,7424,2004-1,3,12,3,3.88,6/18/2011
186,7430,2004-1,3,12,3,3.88,
187,7439,2004-2,12,42,12,3.5,1/25/2014
188,7448,2003-2,3,11.25,3,3.83,6/18/2011
189,7452,2008-1,3,11.25,3,3.83,
190,7457,2008-2,3,11.25,3,3.75,6/20/2009
191,7467,2009-1,3,7.5,3,2.75,6/16/2012
192,7477,2008-2,0,0,3,3.75,6/13/2015
193,7492,2009-1,3,9,3,2.75,6/11/2016
194,7505,2013-2,3,10.5,3,3.75,
195,7512,2014-1,3,4.5,3,1.5,6/18/2011
196,7535,2008-1,3,11.25,3,3.83,6/11/2016
197,7575,2008-2,3,11.25,3,3.75,
198,7581,2014-1,3,3,3,1.5,
199,7631,2014-2,0,0,3,,2/11/2017
200,7662,2013-2,3,11.25,3,3.75,6/15/2013
201,7687,2008-1,3,12,3,3.83,6/16/2012
202,7707,2014-1,3,6,3,1.5,6/11/2016
203,7710,2013-2,3,12,3,3.75,6/16/2012
204,7746,2006-2,3,9,3,3.55,2/7/2015
205,7755,2007-1,3,10.5,3,3,6/24/2012
206,7770,2007-1,3,7.5,3,3,
207,7800,2007-1,3,12,3,3,
208,7842,2008-1,3,6,3,2,
209,7869,2006-1,3,7.5,3,3.1,6/16/2012
210,7902,2006-2,3,10.5,3,3.55,2/7/2015
211,7914,2006-1,3,9,3,3.1,6/15/2013
212,7950,2006-2,3,12,3,3.55,6/15/2013
213,7962,2007-1,3,6,3,3,6/15/2013
214,7973,2007-2,12,45,12,3.36,1/25/2014
215,8005,2006-1,3,10.5,3,3.1,
216,8013,2007-1,3,10.5,3,3,
217,8016,2007-2,3,9,3,3.36,6/15/2013
218,8026,2007-2,3,10.5,3,3.36,1/25/2014
219,8062,2006-1,3,10.5,3,3.1,1/26/2013
220,8067,2006-2,3,6,3,3.55,6/16/2018
221,8073,2006-2,3,11.25,3,3.55,
222,8109,2006-2,3,10.5,3,3.55,
223,8147,2007-1,3,7.5,3,3,10/15/2022
224,8153,2006-1,0,0,3,3.1,6/13/2015
